IncidentNumber	Rank	OfficerRace	OfficerGender	YearsOfSPDService	TypeOfWeapon	SubjectGender	SubjectRace	SubjectAge	Fatal	On-duty	Disposition	OfficerDisciplined?	Summary
20090000000228	Officer	White	Male	7	Rifle w/ bayonet	Male	White	23	Yes	Yes	Justified	No	On January 1st, 2009, at approximately 1:55 A.M., Seattle Police were dispatched to the 5200 block of 17th Avenue Northeast for a report of shots fired. The person reporting the call stated that five men were in the alley firing a rifle and a shotgun.  Two Seattle Police Patrol Officers responded and located the witness who directed them to a unit in an apartment building off the alley. The officers contacted the apartment and were interviewing one of the occupants when a second occupant emerged from a basement door, carrying a WWII era rifle and bayonet. The officers identified themselves and ordered the subject to drop the weapon. The subject pointed the rifle at officers. The officers fired on the subject seven times with their patrol rifles, striking the subject. The subject was transported to Harborview Medical Center where he was pronounced dead.
20090000016462	Officer	White	Male	1	Knife	Male	White	38	Yes	Yes	Justified	No	On January 14th, 2009, at approximately 1:15 A.M., the Seattle Police Department received reports of a domestic disturbance at a motel in the 12000 block of Aurora Avenue North. 911 operators heard an active dispute and a female subject saying ‘leave me alone’ and ‘let go of me.’ Two Seattle Police Patrol Officers responded to the call. When officers contacted the room they heard a female say, ‘Help me! He is choking me! He will not let me leave!’ Officers attempted to force entry, unsuccessfully, by kicking the door. Officers then used the manager's key to access the room but were prevented by a deadbolt.   Officer were able to use a length of wood to force the door open a few inches but the subject used his bodyweight to block entry and then discharged pepper spray into the face of one of the officers.   The subject was observed with a fixed blade knife.   And officer attempted, unsuccessfully to taze the subject.   Several additional officers responded to calls for backup.  The subject was warned that if he attempted to move toward the female occupant of the room he would be shot.   Officers were able to resuce the female from a window in the back of a room while a team of officers breached the front door.   The subject advanced with the knife in his hand and five of the officers opened fire.   The subject was taken into custody and treated by medics.   The subject died at the scene.
20090000174368	Officer	White	Male	8	Shotgun	Male	White	29	No	Yes	Justified	No	On May 22nd, 2009, at approximately 10:15 A.M., Seattle Police Officers were dispatched to the 12500 block of Greenwood Avenue North for a welfare check. The subject’s girlfriend had recently died leaving the subject to care for their 20 month old child. In recent days, the subject had made repeated statements to family members indicating he was contemplating suicide. When officers arrived, the subject indicated he had placed the child between himself and the door and that if officers attempted to enter the apartment they would injure the child. Additionally, he stated if he saw the doorknob move he would fire a shotgun round through the door. A Crisis Intervention trained (CIT) officer attempted to negotiate with the subject for several minutes and became increasingly concerned the child was in imminent danger. An officer positioned himself near the rear of the apartment with a view of the subject through a sliding glass door. The subject moved in and out of the apartment, through the sliding glass door onto a balcony, several times and engaged the officers. At one point the subject told the officer he was going back into the apartment and that he was going to get his firearm. As he moved toward the door, the officer fired a single round, striking the subject in the face. Officers made entry through the front door and rescued the child. The subject was treated at the scene and transported to Harborview Medical Center and held for psychological observation.
20090000227743	Detective	White	Male	10	Vehicle	Male	White	37	No	Yes	Justified	No	On July 1st, 2009, at approximately 4:00 P.M., the Bank of America in Shoreline was robbed. The subject implied a gun and threatened to shoot people in the bank. The subject and the subject’s vehicle, a stolen truck, were identified by Seattle Police Detectives and bank employees. The subject had committed four similar robberies in the previous four consecutive days. At approximately 5:30 P.M., the subject was located in the area of 3rd Avenue Northwest and Holman Road. Seattle Police Patrol Officers and Detectives responded. Officers attempted to use their Seattle Police vehicles to block the subjects’ vehicle. Seattle Police personnel confronted the subject at gunpoint. The subject aimed his vehicle at a Patrol Officer and a Detective and accelerated. Both the officers were able to escape the path of the vehicle. The Detective fired four rounds at the subject, striking the subject in both arms. The subject vehicle continued forward, impacting a Honda CRV and another vehicle and came to a stop. The subject was treated at the scene by medics and then transported to Harborview Medical Center.   The subject was later charged with Robbery.
20090000235011	Officer	Asian/Pacific Islander	Male	3	Vehicle	Male	Black or African American	29	No	Yes	Justified	No	On July 6th, 2009, at approximately 5:15 P.M., two on-duty Seattle Police Patrol Officers located a vehicle with mismatched license plates in the parking lot near the corner of 20th Avenue South and South Jackson St. The vehicle was occupied by four subjects. The officers believed the vehicle may have been stolen. As the officers approached the vehicle the driver shifted the vehicle into drive and began maneuvering the vehicle to flee the parking lot. The officer on the driver side gave the driver several commands to stop and turn off the vehicle while the officer on the passenger side deployed his Taser, to no effect, through the passenger side. The driver aimed the vehicle at the officer who had been positioned on the driver’s side and accelerated toward him. The officer discharged his weapon at the driver as he backpedaled to escape. The vehicle continued to flee westbound on South Jackson St. After some distance, the subjects exited the moving vehicle and fled on foot. Officers pursued and apprehended three of the four subjects, including the driver. The driver sustained a gunshot wound to the hand and injuries resulting from a Taser deployment. A handgun was located in the street outside the abandoned vehicle. One subject received a gunshot wound to the hand and injuries from a Taser deployment.   Both subjects were arrested and charged.
20090000276882	Sergeant	White	Male	24	nan	Male	Black or African American	41	No	Yes	Missing	Missing	On November 6th, 2009, Seattle Police Detectives investigating the death of Seattle Police Officer Timothy Brenton identified a lead which led them to the 13700 block of 52nd Avenue South in Tukwila, Washington. Plain-clothes officers from the Tukwila Police Department responded to a request from Seattle Police to establish surveillance of a vehicle believed to be involved in the incident. The owner of the vehicle lived in the apartment complex where the vehicle was located. Three Seattle Police Detective- Sergeants and a Detective arrived at the complex and requested a Special Weapons and Tactics team to contact the owner of the vehicle when the subject was observed leaving the complex, on foot. At approximately 3:20 P.M., Seattle Police Detectives identified themselves as police and attempted to contact the subject. The subject fled at a running pace. Officers pursued the subject through the complex. At one point the subject came into contact with one of the Detective Sergeants and attempted to fire a Glock 9 millimeter handgun at his head. When the firearm did not discharge, the subject fled into the complex. The Detective Sergeant alerted other personnel to the presence of a firearm and the subjects attempt to use it on him. Personnel took up defensive positions and ordered the subject to surrender. After several minutes, the subject emerged on the fourth floor external walkway and pointed his firearm at one of the Detective Sergeants. Both Detective Sergeants and a Seattle Police Detective opened fire, striking the subject. Law enforcement officers took the subject into custody. The subject was taken in to cusotdy and was transported to Harborview Medical Center.  He was later booked into the King County Jail and charged with Aggravated 1st Degree Murder, Attempted Murder and Arson.
20090000383210	Student Officer	White	Female	<1	Rifle	Male	Black or African American	41	No	Yes	Justified	No	On October 31st, 2009, at approximately 10:10 P.M., a Seattle Police Patrol Field Training Officer and a Student Officer were discussing a recently completed traffic stop. The officers were parked in a marked Seattle Police patrol vehicle near the intersection of 29th Avenue and East Yesler Way. A vehicle approached and fired multiple rounds into the forward compartment of the Seattle Police vehicle. The Student Officer took cover. When the shooting stopped, the student exited the vehicle and returned fire. The student took defensive cover and called for help. The Field Training Officer was injured in the attack and died at the scene. The Student Officer was injured, treated and recovered.  The Field Training Officer was killed and the Student Officer was injured.
20090000415587	Officer	White	Male	5	nan	Male	Black or African American	38	Yes	Yes	Missing	Missing	On December 1st, 2009, at approximately 2:30 A.M., a Seattle Police Patrol Officer was investigating a disabled vehicle in the 4400 block of South Kenyon St. The officer had previously observed a male wearing a hooded sweatshirt walking away from the vehicle, with his hands in his pockets. As the officer was reporting the suspicious vehicle as stolen, the officer observed the male subject he had seen earlier approaching his vehicle from behind. The officer exited the driver’s side of his patrol vehicle. As he prepared to address the subject, who he believed to be approaching with the intention of contacting him, the subject raised his head, revealing his face. On November 29th, a subject matching the description of the subject approaching the officer entered a coffee shop in Lakewood, Washington, and shot and killed four Lakewood Police Department Officers. On November 30th, 2009, the officer was briefed that the suspect in the Lakewood shooting may be present in the City of Seattle. The officer drew his weapon and ordered the subject to show his hands. The subject did not comply and moved his hands toward his waist area as he continued to approach the officer. The officer fired multiple rounds at the subject. The subject then began to run northbound and the officer, again fired on the subject. The subject entered the front yard of a residence.. The officer retrieved a patrol shotgun from his vehicle and took a defensive position behind his vehicle. The officer was able to transmit his location and a ‘shots fired’ call. The officer could see the subject, down, in the yard and continued to cover the subject until other officers arrived. The subject was taken in to custody, treated by medics and died at the scene.
20100000166254	Officer	White	Male	12	Air soft rifle	Male	White	28	No	Yes	Justified	No	On May 20th, 2010, at approximately 8:10 P.M., Seattle Police Department Special Weapons and Tactics (SWAT) Officers responded to a barricaded subject in the 3000 block of Northwest 73rd St. Approximately 40 minutes earlier, two Mental Health Professionals (MHP’s) had attempted a welfare check on the subject. The subject had contacted a crisis hotline and stated he was suicidal. When the MHP’s arrived at the home the subject produced a long gun and asked the MHP’s to leave. Hostage negotiators made several attempts to get the subject to surrender. SWAT Officers deployed ‘flash bang’ devices to distract the subject and broke several windows with wooden dowel, less-lethal rounds but the subject still refused to surrender. At one point, the subject appeared in the window with a black semi-automatic rifle. A SWAT Officer fired three rounds from his rifle, missing the subject. After several minutes the subject surrendered to officers and was taken into custody.     The subject was charged with Harassment.
20100000286279	Officer	White	Male	11	.22 caliber pistol	Male	White	44	Yes	Yes	Justified	No	On August 16th, 2010, at approximately 8:00 P.M., two on-duty Seattle Police Patrol Officers responded to a Quality Food Center (QFC) in the 8400 block of 35th Avenue Northeast. Store employees had called to report an employee, wanted in a domestic violence investigation, was present in the store. When the officers attempted to contact the subject in the meat department, he fled into an employee area. A physical altercation ensued as the officers came into contact with the subject in a narrow hallway. A third on-duty officer responded to assist. Shortly after the third officer arrived, one of the first two officers observed the subject draw a firearm from a holster. The officer issued a warning of a gun to the other officers and ordered the subject to drop the gun. The subject did not comply and the officer discharged his weapon once, striking the subject in the abdomen. Officers took the subject into custody and medics transported the subject to Harborview Medical Center where he later died.
20100000303528	Officer	White	Male	2	Knife	Male	Native American	51	Yes	Yes	Not Justified	Yes	On August 30th, 2010, at approximately 4:10 P.M., an on-duty Seattle Police Patrol Officer was waiting for a traffic light at the intersection of Boren Avenue and Howell St. The officer observed a pedestrian passing in front of his Seattle Police patrol vehicle. The subject was carrying a knife and a block of wood. The officer activated his emergency lights and exited his vehicle with his firearm drawn but not pointed at the subject. He ordered the subject several times to drop the knife. The subject did not comply. The officer fired four rounds, striking the subject. Back-up officer arrived and took the subject into custody. The subject was pronounced dead at the scene.
20100000309178	Student Officer	Hispanic/Latino	Male	1	Multiple Firearms	Male	White	59	No	Yes	Justified	No	On September 3rd, 2010, at approximately 8:45 P.M., Seattle Police received a report of shots fired in the 6100 block of Southwest Admiral Way. The caller reported she had been on the phone with her father who was distressed following a recent argument with his spouse. The subject had stated he was contemplating suicide and the caller heard what sounded like a gunshot before the line went dead. A Patrol Sergeant, a Field Training Officer (in plain clothes) and a Student Officer responded to the scene. The officers approached the house and called to the subject, identifying themselves as Seattle Police. The subject emerged through the door of the house with a rifle and pointed it at officers. Officers opened fire, striking the subject. The subject responded to verbal commands to surrender and was taken into custody. The subject was treated by medics and transported to Harborview Medical Center where he recovered from his injuries.  The subject was charged with Aggravated Assault.
20100000406726	Officer	White	Male	9	Handgun	Male	Asian	31	Yes	Yes	Justified	No	On November 22nd, 2010, SWAT Officers responded to the 1300 block of 15th Avenue South at the request of the Seattle Fire Department for a fast backup. Seattle Fire had responded to that location to conduct a welfare check of a subject slumped behind the wheel of a parked car. When the firefighters made contact with the subject he produced a handgun and held it to his head. The firefighters took cover and called for fast backup. Three SWAT Officers arrived in time to see the subject back his car out of the alley and turn westbound on 14th Avenue South toward officers staged at the intersection of 14th Avenue South and South Atlantic St. The officers issued multiple commands to the subject to drop the weapon and stop the vehicle. The subject did not comply. Three SWAT Officers fired on the subject.  Medics treated the subject at the scene where he died.
20100000422297	Officer	White	Male	21	.22 caliber pistol	Male	Hispanic	38	No	Yes	Justified	No	On December 7th, 2010, at approximately 10:00 P.M., two on-duty Seattle Police Patrol Officers responded to the area of 3rd Avenue and Yesler Way for a report of a man with a gun. Three callers described the subject and indicated they had observed a handgun. The subject was located in the doorway of a business in the 500 block of 3rd Avenue. The officers exited their patrol vehicle, with their weapons drawn, identified themselves as police and ordered the subject to get on the ground. The subject refused to comply. As the officers pursued the subject northbound, one of the officers transitioned to a Taser while the other maintained lethal cover with a firearm. The subject reached toward the front of his waistband and the Taser officer transitioned back to his firearm. The subject was attempting to extract a ‘gun shaped object’ from his waistband when the officer fired one round. The subject fell and was taken into custody. The subject was transported to Harborview Medical Center.   The subject was charged with Aggravated Assault and Possession of a Firearm.
